Place,Address,Tags,url,Rating
Konditori - Artisan European Bakery,33 Bussorah Street Singapore 199451,"Bread, Desserts, Cakes, Halal",https://www.burpple.com/konditori-artisan-bakery,3.82
Joo Bar,5 Tan Quee Lan Street Singapore 188094,"Bars, Dinner With Drinks, Date Night, Good For Groups, Late Night, Korean, Takeaway Available",https://www.burpple.com/joo-bar,3.91
Earlybird,17 Jalan Pinang Singapore 199149,"Cafes & Coffee, Desserts, Breakfast & Brunch, Takeaway Available",https://www.burpple.com/earlybird,3.62
Grill Ninety Nine,142 Arab Street Singapore 199828,"Pasta, Pizza, Western, 1-For-1 Deals, Halal",https://www.burpple.com/grill-ninety-nine,4.62
Founder Bak Kut Teh (Bugis),530 North Bridge Road #01-01 Singapore 188747,"Rainy Day Comforts, Bak Kut Teh, 1-For-1 Deals, Hawker Food",https://www.burpple.com/founder-bak-kut-teh-north-bridge-road,4.03
Thai-licious Boat Noodles,8 Liang Seah Street #01-01 Singapore 189029,"Thai, 1-For-1 Deals",https://www.burpple.com/thailiciousboatnoodles,3.83
Big Fish Small Fish (Bugis Junction),200 Victoria Street #04-05 Bugis Junction Singapore 188021,"Western, Halal",https://www.burpple.com/sgbigfishsmallfish-bugis-junction,4.05
LePak At Rayz,62 Bussorah Street Singapore 199478,"Local Delights, Pasta, Western, Halal",https://www.burpple.com/rayz-bistro,3.92
Squisito,28 Bali Lane Singapore 189864,"Pasta, Italian, Pizza, Halal",https://www.burpple.com/squisitosg,3.69
Rich & Good Cake Shop (Kandahar),24 Kandahar Street Singapore 198887,"Desserts, Cakes",https://www.burpple.com/rich-and-good-cake-shop,4.03
Xiangcao Yunnan Original Ecology Hotpot,26 Liang Seah Street #01-01 Singapore 189047,"Rainy Day Comforts, Buffets, Supper, Chinese, 1-For-1 Deals, Steamboat",https://www.burpple.com/xiangcaosingapore,4.01
Lickety Ice Cream and Waffles,34 Bussorah Street Singapore 199452,"Ice Cream & Yoghurt, Desserts, Waffles, Halal",https://www.burpple.com/lickety,3.96
Sanobar Gila Gula,48 Kandahar Street Singapore 198899,"Local Delights, Malay, Desserts, Halal",https://www.burpple.com/gila-gula,3.31
Edith Patisserie,772 North Bridge Road #01-00 Singapore 198740,"Desserts, Cakes, Takeaway Available",https://www.burpple.com/edith-patisserie,4.22
Pizza Maru (Bugis+),201 Victoria Street #04-03/04 Bugis+ Singapore 188067,"Pizza, Korean, Korean Fried Chicken",https://www.burpple.com/pizza-maru-bugis,3.97
En Sushi,112 Middle Road #01-00B Midland House Singapore 188970,"Sushi, Chirashi, Japanese",https://www.burpple.com/en-sushi,3.88
Little Damage (Haji Lane),2 Haji Lane Singapore 189195,"Ice Cream & Yoghurt, Desserts, 1-For-1 Deals",https://www.burpple.com/little-damage,3.52
Narrative Coffee Stand,231 Bain Street #01-05 Bras Basah Complex Singapore 180231,Cafes & Coffee,https://www.burpple.com/narrative-coffee-stand,4.09
Sushi Airways,20A Baghdad Street Singapore 199659,"Sushi, Interesting, Chirashi, Japanese",https://www.burpple.com/sushiairways-sushibar,3.67
Una Una,201 Victoria Street #04-10 Bugis+ Singapore 188067,Japanese,https://www.burpple.com/una-una,3.86
Kappou Japanese Sushi Tapas Bar,190 Middle Road #02-10A Fortune Centre Singapore 188979,"Seafood, Hidden Gem, Sushi, Japanese, Dinner With Drinks, Date Night",https://www.burpple.com/kappou-japanese-sushi-tapas-bar,4.0
Paulinni (Bugis+),201 Victoria Street #01-07 Bugis+ Singapore 188067,"Ice Cream & Yoghurt, Cafes & Coffee, Waffles, Western",https://www.burpple.com/paulinni-at-bugis,3.16
665°F,5 Fraser Street Level 38 Andaz Singapore Singapore 189354,"Seafood, Great View, Steak, Dinner With Drinks, Date Night, Western, Halal",https://www.burpple.com/665-degrees-fahrenheit,4.06
Positano Risto,66 Bussorah Street Singapore 199479,"Pasta, Italian, Pizza, Western, Halal",https://www.burpple.com/positano-risto,3.79
Ramen Keisuke Tonkotsu King Four Seasons (Bugis),158 Rochor Road Bugis Village Singapore 188433,"Ramen, Japanese",https://www.burpple.com/ramen-keisuke-tonkotsu-king-four-seasons,3.81
Wing Zone (Bugis+),201 Victoria Street #04-02 Bugis+ Singapore 188067,"Western, 1-For-1 Deals, Halal",https://www.burpple.com/wing-zone-bugis,3.7
LUX - Alfresco Bar,269 Beach Road Singapore 199546,"Bars, Date Night, Cocktails, 1-For-1 Deals",https://www.burpple.com/lux-alfresco-bar,3.94
Piedra Negra,241 Beach Road Singapore 189753,"Mexican, Dinner With Drinks, Late Night",https://www.burpple.com/piedra-negra,3.98
Nobu-ya,190 Middle Road #01-05 Fortune Centre Singapore 188979,"Japanese, Dinner With Drinks",https://www.burpple.com/nobuya,3.91
IndoBowl,39 Sultan Gate Singapore 198487,"Indonesian, Halal, Newly Opened",https://www.burpple.com/indobowlsg,3.81
Wakuwaku Yakiniku,27 Bali Lane Singapore 189863,"Japanese, BBQ, Halal",https://www.burpple.com/wakuwaku-yakiniku,2.82
Mellower Coffee (Bugis),108 Middle Road #01-01 The Prospex Singapore 188967,"Cafes & Coffee, Desserts",https://www.burpple.com/mellower-coffee-bugis,3.88
Kane Mochi (Bugis+),201 Victoria Street #02-50 Bugis+ Singapore 188067,"Ice Cream & Yoghurt, Desserts, Halal",https://www.burpple.com/kane-mochi,3.75
The Gong by Drinks & Co.,7 Fraser Street #01-59/60 DUO Galleria Singapore 189356,"Bars, Dinner With Drinks, Late Night, Western, Cocktails",https://www.burpple.com/the-gong-by-drinks-co,4.62
Genki Sushi (Bugis+),201 Victoria Street #01-13 Bugis+ Singapore 188067,"Sushi, Japanese",https://www.burpple.com/genki-sushi-bugis,3.57
Jiu Gong Ge Hotpot,470 North Bridge Road #01-02 Bugis Cube Singapore 188735,"Seafood, Rainy Day Comforts, Good For Groups, Chinese, 1-For-1 Deals, Steamboat",https://www.burpple.com/jiugongge,3.82
The Malayan Council (Bussorah Street),71 Bussorah Street Singapore 199484,"Cafes & Coffee, Desserts, Cakes, Breakfast & Brunch, Halal",https://www.burpple.com/the-malayan-council-1,3.65
Omurice Keisuke,201 Victoria Street #04-01 Bugis+ Singapore 188067,"Pasta, Japanese",https://www.burpple.com/omurice-keisuke,3.98
Wilder,749 North Bridge Road Singapore 198717,"Cafes & Coffee, Cakes, Breakfast & Brunch, Halal",https://www.burpple.com/wilder,3.55
working title - Burger Bar,783 North Bridge Road Singapore 198751,"Cafes & Coffee, Desserts, Burgers, Western, Halal",https://www.burpple.com/working-title,3.5
All Things Delicious (Arab Street),34 Arab Street #01-01 Singapore 199733,"Burpple Guides, Cafes & Coffee, Desserts, Cakes, Breakfast & Brunch, Halal",https://www.burpple.com/all-things-delicious,4.24
One Bowl Restaurant and Bar,101 Jalan Sultan The Sultan Hotel Lobby Singapore 199002,"Cheap & Good, Chinese",https://www.burpple.com/one-bowl-restaurant-and-bar,4.05
Dessert First,8 Liang Seah Street #01-04 Singapore 189029,"Desserts, Supper",https://www.burpple.com/dessert-first,3.65
Ah Loy Thai,9 Tan Quee Lan Street #01-04 Singapore 188098,"Thai, Cheap & Good, Good For Groups",https://www.burpple.com/ah-loy-thai,4.1
Juju Coffee,5 Tan Quee Lan Street Singapore 188094,Cafes & Coffee,https://www.burpple.com/juju-coffee,3.76
Lubnan Authentic Lebanese Cuisine,32 Bussorah Street Singapore 199450,"Middle Eastern, 1-For-1 Deals, Mediterranean",https://www.burpple.com/lubnan,4.35
ATLAS,600 North Bridge Road Singapore 188778,"Bars, Dinner With Drinks, European, Cocktails",https://www.burpple.com/atlas,4.0
[CLOSED] TONO Cevicheria,7 Fraser Street #01-49/50 DUO Galleria Singapore 189356,"Seafood, Dinner With Drinks, Good For Groups",https://www.burpple.com/tonocevicheria,4.02
Chir Chir Fusion Chicken Factory (Bugis Junction),200 Victoria Street #02-50 Bugis Junction Singapore 188021,"Good For Groups, Korean, Korean Fried Chicken",https://www.burpple.com/chir-chir-2,4.03
Cicheti,52 Kandahar Street Singapore 198901,"Pasta, Burpple Guides, Italian, Pizza, Date Night",https://www.burpple.com/cicheti,4.1
Maison Ikkoku,Kandahar Street 20 Singapore 198885,"Bars, Burpple Guides, Sandwiches, Cafes & Coffee, Late Night, Cocktails, Breakfast & Brunch",https://www.burpple.com/maison-ikkoku,3.67
Maison Ikkoku,20 Kandahar Street Level 2 Singapore 198885,"Bars, Japanese, Dinner With Drinks, Date Night, European, Late Night, Cocktails",https://www.burpple.com/fort-by-maison-ikkoku,3.67
Monster Curry (Bugis Junction),200 Victoria Street #B1-04/K24 Bugis Junction Singapore 188021,Japanese,https://www.burpple.com/monster-curry-bugis-junction,3.95
Istanblue Mezze & Grill House,17 Baghdad Street Singapore 199656,"Turkish, Good For Groups, 1-For-1 Deals",https://www.burpple.com/istanblue-mezze-grill-house,3.48
Thyme (Aliwal),28 Aliwal Street #01-07 Aliwal Arts Center Singapore 199918,"Pasta, Pizza, Western, 1-For-1 Deals, Breakfast & Brunch",https://www.burpple.com/thyme-aliwal,3.93
The Masses,85 Beach Road #01-02 Singapore 189694,"Dinner With Drinks, Date Night, European, Takeaway Available",https://www.burpple.com/the-masses,3.83
Xing Hua Vegetarian Restaurant,190 Middle Road #01-11 Fortune Centre Singapore 188979,"Vegetarian, Chinese",https://www.burpple.com/xing-hua-vegetarian-restaurant,3.3
Seoul Yummy (Bugis+),201 Victoria Street #04-11 Bugis+ Singapore 188067,"Good For Groups, Korean, Korean Desserts",https://www.burpple.com/seoul-yummy-3,3.55
Jin Jin Eating House,496 North Bridge Road Singapore 188739,Hawker Food,https://www.burpple.com/jin-jin-eating-house,3.87
Flaming Don (Bugis+),201 Victoria Street #05-02 Bugis+ Singapore 188067,Japanese,https://www.burpple.com/flaming-don,3.79
Tash Tish Tosh,50 Kandahar Street Singapore 198900,"Pizza, Cafes & Coffee, Good For Groups, Western, Halal",https://www.burpple.com/tash-tish-tosh-cafe,4.2
Double Up Coffee,7 Jalan Klapa Singapore 199319,"Cafes & Coffee, Desserts",https://www.burpple.com/double-up-coffee,4.33
The Ramen Stall,787 North Bridge Road Singapore 198755,"Ramen, Japanese, Supper, Late Night, Halal",https://www.burpple.com/the-ramen-stall-1,3.67
aRoma (Arab Street),29 Arab Street Singapore 199728,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/aroma-1,4.0
The Soup Spoon (Bugis Junction),200 Victoria Street #B1-04/26 Bugis Junction Singapore 188021,"Soup, Healthy, Sandwiches, Salads",https://www.burpple.com/soup-spoon-3,3.3
Moosh Softserve (Haji Lane),44 Haji Lane Singapore 189237,"Ice Cream & Yoghurt, Desserts, Halal",https://www.burpple.com/moosh-softserve,4.12
Mrs Pho (Beach Road),349 Beach Road Singapore 199570,"Vietnamese, Cheap & Good",https://www.burpple.com/mrs-pho,3.99
Ah Chew Desserts (Liang Seah Street),1 Liang Seah Street #01-11 Liang Seah Place Singapore 189022,"Local Delights, Desserts, Supper",https://www.burpple.com/ah-chew-desserts,3.65
Sawadee Thai Cuisine,9 Tan Quee Lan Street #01-01 TQL Suites Singapore 188098,"Thai, 1-For-1 Deals",https://www.burpple.com/sawadee-thai-cuisine,3.97
Supreme Pork Chop Rice,67 Beach Road #B1-01 Bulkhaul House Singapore 189688,"Hidden Gem, Cheap & Good, Hawker Food",https://www.burpple.com/supreme-pork-chop-rice,3.79
Kogane Yama (Bugis Junction),200 Victoria Street #02-50 Bugis Junction Singapore 188021,Japanese,https://www.burpple.com/koganeyamasingapore,4.01
PastaWa,77 Aliwal Street Singapore 199948,"Pasta, Western",https://www.burpple.com/pastawa,4.75
Wakey Wakey,302 Beach Road #01-04/05 Singapore 199600,"Cafes & Coffee, Desserts, Waffles, Cakes",https://www.burpple.com/wakey-wakey,3.93
Fish & Co. (Bugis+),201 Victoria Street #04-07 Bugis+ Singapore 188067,"Seafood, Western, Halal",https://www.burpple.com/fish-co-28,3.85
Julie Bakes,14 Baghdad Street Singapore 199653,"Desserts, Cakes, Halal",https://www.burpple.com/julie-bakes-halal-100,4.45
Jing Hua Xiao Chi (Bugis Village),159 Rochor Road Bugis Village Singapore 188434,"Dim Sum, Chinese",https://www.burpple.com/jing-hua-restaurant,3.75
Ratu Lemper,31 Arab Street Singapore 199730,"Local Delights, Malay, Desserts, Halal",https://www.burpple.com/ratu-lemper-heritage-delicacy,4.11
Groundstory,756/758 North Bridge Road Singapore 198726,"Cafes & Coffee, Cakes",https://www.burpple.com/groundstory,4.34
Nunsongyee (Bugis),534 North Bridge Road Singapore 188749,"Ice Cream & Yoghurt, Desserts, Supper, Good For Groups, Korean Desserts",https://www.burpple.com/nunsongyee-bugis,3.68
Daessiksin (Bugis+),201 Victoria Street #04-05 Bugis+ Singapore 188087,"Korean BBQ, Buffets, Good For Groups, BBQ, Korean",https://www.burpple.com/daessiksin-bugis,3.97
Blackball (Bugis+),201 Victoria Street #01-14 Bugis+ Singapore 188067,"Taiwanese, Desserts",https://www.burpple.com/black-ball-at-bugis,3.64
LiHO (Bugis+),201 Victoria Street #03-29/30 Bugis+ Singapore 188067,"Fruit Tea, Bubble Tea",https://www.burpple.com/liho,3.7
CoCoICHIBANYA (Bugis+),201 Victoria Street #01-10 Bugis+ Singapore 188067,Japanese,https://www.burpple.com/coco-ichibanya-curry-house,3.48
Yolé (Bugis+),201 Victoria Street #03-27 Bugis+ Singapore 188067,"Ice Cream & Yoghurt, Desserts, Healthier Choice",https://www.burpple.com/yole-bugis,3.7
YAYOI (Bugis+),201 Victoria Street #01-08 Bugis+ Singapore 188067,Japanese,https://www.burpple.com/yayoiken-japanese-restaurant-4,3.24
Bonchon (Bugis+),201 Victoria Street #01-11 Bugis+ Singapore 188067,"Korean, Korean Fried Chicken",https://www.burpple.com/bonchon-chicken-21,3.89
Geláre (Bugis+),201 Victoria Street #05-10 Bugis+ Singapore 188067,"Ice Cream & Yoghurt, Desserts, Waffles, Halal",https://www.burpple.com/gelare-10,3.59
AmaSoy (Bugis+),201 Victoria Street #04-05 Bugis+ Singapore 188067,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/amasoy-bugis,3.52
COyOrO (Bugis),4 New Bugis Street Stall EFL-4I Singapore 188868,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/coyoro-bugis,4.2
Poulet (Bugis+),201 Victoria Street #04-12 Bugis+ Singapore 188067,"French, Good For Groups",https://www.burpple.com/poulet,3.43
Bugis Street Chuen Chuen Chicken Rice (Bugis),21 Tan Quee Lan Street #01-01 Heritage Place Singapore 188108,"Chicken Rice, Zi Char, Good For Groups, Hawker Food",https://www.burpple.com/bugis-street-chuen-chuen,3.62
Twelve Cupcakes (Bugis Junction),200 Victoria Street #B1-03B Bugis Junction Singapore 188021,"Desserts, Cakes, Halal",https://www.burpple.com/twelve-cupcakes-10,3.78
Derwish Turkish Restaurant,60 Bussorah Street Singapore 199476,"Turkish, 1-For-1 Deals, Mediterranean, Halal",https://www.burpple.com/derwish-turkish-restaurant,3.76
Chicken Up Little (Bugis),60 Queen Street Stall 5 Tastebud Foodcourt Singapore 188540,"Korean, Korean Fried Chicken",https://www.burpple.com/chickenup-little,3.25
Eighteen Chefs (Bugis Junction),200 Victoria Street #04-06 Bugis Junction Singapore 188021,"Western, Halal",https://www.burpple.com/eighteen-chefs-6,3.81
Boss Bake (Bugis),191 Rochor Road #B2-11 Bugis MRT Singapore 188476,Desserts,https://www.burpple.com/bossbakebakery,4.44
BBQ Box (Bugis),21 Tan Quee Lan Street #01-03 Singapore 188108,"Rainy Day Comforts, Good For Groups, BBQ, Chinese",https://www.burpple.com/bbq-box-1,3.58
Kin Moo (Bugis),2 Tan Quee Lan Street #01-02 Singapore 188091,"Thai, Cheap & Good",https://www.burpple.com/kinmoo,4.0
Chocolate Origin (Bugis Junction),200 Victoria Street #B1-01/02 Bugis Junction Singapore 188021,"Desserts, Cakes",https://www.burpple.com/chocolate-origin-bugis-junction,3.77
Swensen's (Bugis Junction),200 Victoria Street #01-68 Bugis Junction Singapore 188021,"Ice Cream & Yoghurt, Desserts, Good For Groups, Western, Halal",https://www.burpple.com/swensens-26,3.29
Starbucks (Bugis Junction),200 Victoria Street #01-15 Bugis Junction Singapore 188021,Cafes & Coffee,https://www.burpple.com/starbucks-bugis-junction,3.67
Platypus Kitchen (Bugis Junction),200 Victoria Street #01-90/91 Bugis Junction Singapore 188021,"Pasta, Italian, Good For Groups, Western",https://www.burpple.com/platypus-kitchen-bugis-junction-sungapore,3.52
Qiji (Bugis Village),160 Rochor Road Bugis Village Singapore 188435,"Local Delights, Halal, Healthier Choice",https://www.burpple.com/qi-ji,3.68
BreadTalk (Bugis Junction),200 Victoria Street #B1-23 Bugis Junction Singapore 188021,"Bread, Cakes",https://www.burpple.com/breadtalk-40,3.51
Toast Box (Bugis Junction),200 Victoria Street #01-67 Bugis Junction Singapore 188021,"Local Delights, Bread, Cafes & Coffee, Breakfast & Brunch",https://www.burpple.com/toast-box-bugis-junction,3.32
Kotsujiru Nabe (Bugis Junction),200 Victoria Street #B1-K2 Bugis Junction Singapore 188021,"Ramen, Japanese",https://www.burpple.com/osaka-handmade-gyoza,3.24
llaollao (Bugis Junction),200 Victoria Street #01-14 Bugis Junction Singapore 188021,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/llaollao-bugisjunction,1.76
Stuff'd (Bugis Junction),200 Victoria Street #B1-K07 Bugis Junction Singapore 188021,"Mexican, Turkish, Healthy, Salads, Halal",https://www.burpple.com/stuffd-bugis,4.06
Godiva Chocolatier (Bugis Junction),200 Victoria Street #01-60/60A Bugis Junction Singapore 188021,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/godiva-bugis-shopping-mall-singapore,4.0
Neds Crepe (Bugis Village),3 New Bugis Sreet #02-07 Bugis Village Singapore 188867,Desserts,https://www.burpple.com/neds-crepe,3.85
Bugis BBQ & Hotpot,470 North Bridge Road #01-01 Bugis Cube Singapore 188735,"Buffets, Supper, Good For Groups, BBQ, Steamboat",https://www.burpple.com/bugis-bbq-hotpot-buffet,4.24
Greendot (Bugis Junction),200 Victoria Street #01-71/72 Bugis Junction Singapore 188021,"Local Delights, Vegetarian, Healthy, Healthier Choice",https://www.burpple.com/greendot-bugis-junction,4.53
Paris Baguette (Bugis Junction),200 Victoria Street #B1-24/25 Bugis Junction Singapore 188021,"Bread, Cafes & Coffee, Desserts, Korean Desserts, Cakes, Breakfast & Brunch",https://www.burpple.com/paris-baguette-cafe-4,3.75
KFC (Bugis Junction),200 Victoria Street #B1-09 Bugis Junction Singapore 188021,"Fast Food, Halal",https://www.burpple.com/kfc-bugis-junction,3.93
Yoshinoya (Bugis Junction),200 Victoria Street #B1-10 Bugis Junction Singapore 188021,"Fast Food, Japanese",https://www.burpple.com/yoshinoya-29,3.57
Kazokutei (Bugis Junction),200 Victoria Street #02-49 Bugis Junction Singapore 188021,Japanese,https://www.burpple.com/kazokutei-3,3.41
Suki-Ya (Bugis+),201 Victoria Street #04-14/15 Bugis+ Singapore 188067,"Buffets, Japanese, Good For Groups, Steamboat",https://www.burpple.com/sukiya-iluma,4.01
McDonald's (Bugis Village),151/152 Rochor Road Singapore 188426,"Fast Food, Supper",https://www.burpple.com/mcdonald-bugis-village,4.24
Ice Lab Cafe (Bugis),164 Rochor Road Singapore 188439,"Cafes & Coffee, Desserts, Korean, Korean Desserts",https://www.burpple.com/ice-lab-cafe-bugis,3.77
Wah! Kung Fu (Bugis),470 North Bridge Road #01-04 Bugis Cube Singapore 188735,"Seafood, Chinese",https://www.burpple.com/wah-kungu-bugis,4.85
Washoku Goen (Bugis Junction),200 Victoria Street #03-30 Stall 11 Bugis Junction Food Junction Singapore 188021,"Japanese, Cheap & Good",https://www.burpple.com/washoku-goen-at-bugis-junction,2.54
WOK HEY (Bugis Junction),200 Victoria Street #B1-K3 Bugis Junction Singapore 188021,"Local Delights, Halal",https://www.burpple.com/wok-hey,3.94
Wow Tako (Bugis Junction),200 Victoria Street #B1-K17 Bugis Junction Singapore 188021,Japanese,https://www.burpple.com/wow-tako,4.66
Jinjja Chicken (Bugis Village),249 Victoria Street Singapore 188034,"Fast Food, Cheap & Good, Korean, Korean Desserts, Korean Fried Chicken, Halal",https://www.burpple.com/jinjja-chicken,4.09
Royale (Mercure Singapore Bugis),122 Middle Road Level 3 Mercure Singapore Bugis Singapore 188973,"Buffets, Good For Groups",https://www.burpple.com/royale-restaurant,3.74
Xian De Lai (Bugis),18 Liang Seah Street Singapore 189039,"Buffets, Supper, Chinese, Steamboat",https://www.burpple.com/liang-seah-street-bugis,3.54
Ramen Champion (Bugis+),201 Victoria Street #04-10 Bugis+ Singapore 188067,"Ramen, Japanese",https://www.burpple.com/ramen-champion,3.86
Ajisen Ramen (Bugis Junction),200 Victoria Street #01-01 Bugis Junction Singapore 188021,"Ramen, Japanese",https://www.burpple.com/ajisen-ramen-15,3.37
Bumbu Restaurant (Bugis),44 Kandahar Street Singapore 198897,"Burpple Guides, Thai, Indonesian, Halal",https://www.burpple.com/bumbu,4.17
Tori Q (Bugis Junction),200 Victoria Street #B1-K1 Bugis Junction Singapore 188024,"Fast Food, Japanese",https://www.burpple.com/toriq-3,4.47
McDonald's (Bugis Junction),200 Victoria Street #01-66 Bugis Junction Singapore 188024,"Fast Food, Supper",https://www.burpple.com/mcdonaldstm-bugis-junction,3.58
Sukhothai Kitchen (Bugis),149 Rochor Road #B1-22 Fu Lu Shou Complex Choh Dee Food Place Singapore 188425,Thai,https://www.burpple.com/sukhothai-kitchen-authentic-thai-cuisine,2.93
Super Dream (Bugis),3 New Bugis Street #01-MSV12 Singapore 188867,Desserts,https://www.burpple.com/super-dream,4.75
Rumah Makan Minang (Bugis),18/18A Kandahar Street Singapore 198884,"Local Delights, Indonesian, Halal",https://www.burpple.com/rumah-makan-minang,3.95
The SaladBox (Bugis),191 Rochor Road #B2-08 Bugis MRT Singapore 188476,"Healthy, Salads",https://www.burpple.com/the-saladbox,3.25
PastaMania (Bugis Junction),200 Victoria Street #B1-08 Bugis Junction Singapore 188021,"Pasta, Italian, Pizza, Halal",https://www.burpple.com/pastamania-17,3.68
Astons Specialities (Bugis+),201 Victoria Street #05-08 Bugis+ Singapore 188067,Western,https://www.burpple.com/astons-specialties,3.07
Sharetea (Bugis Junction),200 Victoria Street #01-14A Bugis Junction Singapore 188021,Desserts,https://www.burpple.com/share-tea-12,3.82
Xin Yuan Ji (Bugis),31 Tan Quee Lan Street #01-01 Singapore 188117,"Seafood, Zi Char, Cheap & Good, Good For Groups, Steamboat, Hawker Food",https://www.burpple.com/xin-yuan-ji,3.92
Seoul Garden (Bugis Junction),200 Victoria Street #02-52 Bugis Junction Singapore 188021,"Korean BBQ, Buffets, Good For Groups, BBQ, Halal",https://www.burpple.com/seoul-garden-16,3.96
Chewy Junior (Bugis Junction),200 Victoria Street #B1-12 Bugis Junction Singapore 188021,"Bread, Desserts",https://www.burpple.com/chewy-junior-8,3.9
Four Leaves (Bugis Junction),200 Victoria Street #B1-14/15 Bugis Junction Singapore 188021,"Bread, Cakes",https://www.burpple.com/four-leaves-bugis,3.92
Pepper Lunch Express (Bugis Junction),200 Victoria Street #03-30 Bugis Junction Food Junction Singapore 188021,"Steak, Kopitiam, Japanese",https://www.burpple.com/peper-lunch-express,4.44
